new entry "Shout_Ravensworn_Boon"
type "SpellData"
data "SpellType" "Shout"
data "Cooldown" "OncePerCombat"
data "SpellProperties" "ApplyStatus(RAVENSWORN_BOON,100,10);"
data "TargetConditions" "Self();"
data "Icon" "Spell_RavenswornBoon"
data "DisplayName" "hc9af6a0fg556cgd7ebga06cgc225926abe18;1"
data "Description" "heed43f53g5832g908cgc5a2g9fb5c6d7046c;1"
data "TooltipStatusApply" "ApplyStatus(RAVENSWORN_BOON,100,5);"
data "CastTextEvent" "Cast"
data "UseCosts" "BonusActionPoint:1;"
data "SpellAnimation" "03496c4a-49e0-4132-b585-3e5ecd1ad8e5,,;,,;4156d364-d2c0-4a01-908c-3552f78f434d,,;6f0a29b6-0ae8-4ebf-a1e4-8069c4a6ad16,,;a9682ef9-5d9e-4ac0-8144-2c7fe6eb868c,,;,,;32fb4d91-7fde-4b05-9144-ea87b9a4284a,,;,,;,,"
data "VerbalIntent" "Buff"
data "SpellStyleGroup" "Class"
data "SpellFlags" "IsSpell;HasVerbalComponent;HasSomaticComponent"
data "PrepareEffect" "9342eaf4-6a20-44c6-a740-863b0f9c2475"
data "CastEffect" "d21494e5-5c30-4a69-85ef-75a785e71105"

